Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
Dr Althea AQUA;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_03EN1MB9YT9FER0JMX5QKZW3AV;;;;;;;Yes;Dr Althea AQUA;;;Yes;45;business;7c12f6da-6218-4a39-a467-0e7387d8f770;bb24b4e4-fe26-41d2-a13c-8b7d1b263982;
Dr Althea aqua mist jelly;;;;;;;;;;Yes;24.99;;No;20.00;No;;No;;;each.each;Yes;5;1;;;;;DR ALTHEA;Yes;Light blue;https://images.sumup.com/img_6JAN72Q0SE81QRZVEGY345TXW1;;;;;;;Yes;Dr Althea aqua mist jelly;;;Yes;45;business;450d2b39-68fb-4cf3-9c33-b006e1da8ce7;373ea412-222c-4b8d-8e5a-54250b1939c5;
Dr Althea baume pore;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_605JM2PC49959TT8R41SDH1XSD;;;;;;;Yes;Dr Althea baume pore;;;Yes;45;business;1d2102e7-94cf-4fbc-b77d-dfa79c1870d5;7f9caa0d-8a5b-4bbd-812b-b9c3858af774;
Dr Althea baume pore ;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_783VEBP1WA8YJTPZ47T513RXVR;;;;;;;Yes;Dr Althea baume pore ;;;Yes;45;business;bd872147-d813-48b1-bc90-09890bcc5f43;a9c3b89b-5eeb-405d-aec8-59e4e910605f;
Dr Althea serum aqua marine ;;;;;;;;;;Yes;21.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;DR ALTHEA;Yes;Dark blue;https://images.sumup.com/img_4A9YWJT5PQ9CJRASEWB8VCE4SN;;;;;;;Yes;Dr Althea serum aqua marine ;;;Yes;45;business;0abca987-17aa-4791-a56d-005cdd14f48c;7dd7ceab-df22-4537-a22c-fe2a05754ff5;
Dr Ceuracle;;;;;;;;;;Yes;21.75;;No;20.00;No;;No;;;each.each;Yes;3;1;;;;;Dr Ceuracle;Yes;Grey;https://images.sumup.com/img_6CG1JY4RAS98GTNGT95XEEGYMW;;;;;;;Yes;Dr Ceuracle;;;Yes;45;business;a4941b23-8ce1-4fff-9acf-b641582bedaf;4fd35bd2-9782-447e-bcc3-3f8f9248fe8d;
Dr Melaxin peel shot;;;;;;;;;;Yes;27.60;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;DR MELAXIN;Yes;Grey;https://images.sumup.com/img_7GR8XQCRJW9E0BE6ZVQP9GT527;;;;;;;Yes;Dr Melaxin peel shot;;;Yes;45;business;c9b1da37-3c41-4376-9e08-8a7fda9fd3ab;c0eb28bf-acbf-4bf7-a072-d790b45dd3d9;
Dr Melaxin toner rice blanc;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;0;1;;;;;DR MELAXIN;Yes;Grey;https://images.sumup.com/img_70TYK1KAR488YS1ZEWCNSV1Y5X;;;;;;;Yes;Dr Melaxin toner rice blanc;;;Yes;45;business;7840f271-0499-409a-ae14-6890eec2e0d1;3f6d9fd1-f2c2-4c2d-a395-43695c1d8acb;
Dr althea;;;;;;;;;;Yes;21.73;;No;20.00;No;;No;;;each.each;Yes;2;1;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_4N2H1VJHWD8W78AW5GDY5QNB7C;;;;;;;Yes;Dr althea;;;Yes;45;business;ba19cbec-5eff-43da-a1a1-f4301ec7f5c2;fa723c56-6891-4b0a-aa31-d03d039fdf3f;
Dr althea  baume purifiant ;;;;;;;;;;Yes;21.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;DR ALTHEA;Yes;Light green;https://images.sumup.com/img_2W18HV8M2N86A9M2KRYNYSB7WX;;;;;;;Yes;Dr althea  baume purifiant ;;;Yes;45;business;cea192e4-e79a-4216-8543-4b77e4bb1d5c;d2b7bffd-eec8-434f-ac8a-008858e8c524;
Dr althea cream NIATHIONE;;;;;;;;;;Yes;24.99;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_2F99K433XY8MNR17R30W6SSA2Z;;;;;;;Yes;Dr althea cream NIATHIONE;;;Yes;45;business;f91b38d9-2dcb-4bbc-86e4-ced5a7aed77b;644cae15-b43c-431c-b248-2596db8d284c;
Dr althea eye serum;;;;;;;;;;Yes;13.00;;No;20.00;No;;No;;;each.each;Yes;1;3;;;;;DR ALTHEA;Yes;;https://images.sumup.com/img_07TZBNVR0K970V3EJTZVBZP4DT;;;;;;;Yes;Dr althea eye serum;;;Yes;45;business;db2494f1-3826-40b2-bd6b-fefead61766d;31c1bd63-55ef-41a9-bafd-8896fb5b8dcb;
Dr althea sunscreen;;;;;;;;;;Yes;24.90;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;DR ALTHEA;Yes;Light blue;https://images.sumup.com/img_647CP2S7T19AZ9E3QV268HZR53;;;;;;;Yes;Dr althea sunscreen;;;Yes;45;business;6d086349-ff62-46f3-b6af-e516cea5912e;bf47c66a-2409-4a26-81f5-44ec2b70840c;
Dr melaxin cream pigmentation ;;;;;;;;;;Yes;30.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;DR MELAXIN;Yes;Black;https://images.sumup.com/img_673PMM3BHT96SANV0GPRER7V91;;;;;;;Yes;Dr melaxin cream pigmentation ;;;Yes;45;business;402cf87a-db8c-44f1-b9c1-f71068b2da0a;de516efe-e1b9-4487-96ed-7e9e9791f5ef;
Drainage lymphatique ;;;;;;;;;;Yes;60.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Massages;Yes;Black;;;;;;;;Yes;Drainage lymphatique ;;;Yes;45;business;beb712a9-cf79-48d3-9b03-9626a905d1ef;4fc99b8d-3ba7-44c8-9235-44d0f6ec71c4;
EOS  coconut lotion;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;EOS;Yes;Grey;https://images.sumup.com/img_4Q953GG8VV8EHS8Z4N0Q6K8WRC;;;;;;;Yes;EOS  coconut lotion;;;Yes;45;business;54a8f317-44cd-4df2-9709-fcb5cfdd7e43;52f68d70-bbc9-455f-b315-796bc6177d6b;
EQQUALBERRY - Bakuchiol Plumping Cream;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;EQQUALBERRY ;Yes;Purple;https://images.sumup.com/img_35VDZEKTTB98TVF1HPEP4JK3T2;;;;;;;Yes;;;;Yes;45;business;1B006253-D97D-47DE-9A1F-056340620268;63664455-E93A-4D3E-9549-BF9F4E450A87;
EQQUALBERRY - Huile nettoyante lissante au riz violet - 200ml;;;;;;;;;;Yes;23.00;;No;20.00;;;No;;;each.each;Yes;0;0;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_4ZH0VPFTAP8269FXM630MJX906;;;;;;;Yes;;;;Yes;45;business;1E2301BD-98FB-464B-A62B-9828C98E5C6B;153967EE-40B9-4AC4-A7A5-8402ECAAD23E;
EQQUALBERRY - Pack nettoyant purifiant pour les pores au riz violet - 130g;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;1;2;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_22T2HWFX0995HSRERD41WKBJYN;;;;;;;Yes;;;;Yes;45;business;0B2E93E5-74E7-41EF-835E-AF5A6B895455;12073048-69BD-4F52-AA12-5EEA7F6587FD;
EQQUALBERRY - Swimming Pool Daily Facial Toner;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_4R5RZPJRXP9XQVY6K3ZBHS8ZTG;;;;;;;No;;;;No;45;business;3EFB0B42-35EA-490B-BB2E-CD0F036F6F49;58A5519E-620C-43E5-AAB6-E76E3346AAC5;
EQQUALBERRY - Sérum réducteur de pores Purple PDRN;;;;;;;;;;Yes;24.00;;No;20.00;No;;No;;;each.each;Yes;5;2;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_7CVAJYKFD7996V36XRJZW1BQK1;;;;;;;Yes;;;;Yes;45;business;43A7C7B1-ED0F-42E8-ADEE-E48D4DF49B08;CA5FFB36-1506-456F-B21E-E448B4BB311F;
EQQUALBERRY - Vitamin Illuminating Serum;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_4G8JDNND1H9FXVHZJ7P03Q09PH;;;;;;;Yes;;;;Yes;45;business;8174135F-330F-4881-A04D-63EB4252F97F;E5E69AD1-0AC9-4A0E-9ED6-A2800FFF2E96;
ESFOLIO - Pure Skin Crème Mains Pure Escargot;;;;;;;;;;Yes;5.99;;No;20.00;;;No;;;each.each;Yes;5;2;;;;;ESFOLIO;Yes;;https://images.sumup.com/img_1XVPQ0CXQ684CRCKR8VN0FVP03;;;;;;;Yes;;;;Yes;45;business;4BB3FFB2-3401-407A-BCE5-E8660C8461A6;CF5DD8BD-8AE7-475D-B883-B7BECA9C548D;
Eqqualberry  masque pore tight up;;;;;;;;;;Yes;6.00;;No;20.00;No;;No;;;each.each;Yes;6;0;;;;;EQQUALBERRY ;Yes;Pink;;;;;;;;Yes;Eqqualberry  masque pore tight up;;;Yes;45;business;3725e13c-3ade-4e64-8158-880ab653ead4;0f74f199-c1e9-462c-9a21-07583a94c216;
Eqqualberry bakuchiol;;;;;;;;;;Yes;24.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;EQQUALBERRY ;Yes;Purple;https://images.sumup.com/img_4ZBMAACN1Z9TER6Q153CV2WZSH;;;;;;;Yes;Eqqualberry bakuchiol;;;Yes;45;business;60885a1c-d6f3-49f1-9a4d-1e00c0796b11;d091d884-f638-4278-bb01-a4f335705c56;
Eqqualberry mask collagen glow up;;;;;;;;;;Yes;6.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_78HCSBVXXH93HSEQHK2FQPM06Q;;;;;;;Yes;Eqqualberry mask collagen glow up;;;Yes;45;business;e6c74188-84d3-45cb-91aa-bff4f5991a1b;139b01b9-7312-4217-9057-9bb88d581b7a;
Eqqualberry toner 150 ml;;;;;;;;;;Yes;19.50;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;EQQUALBERRY ;Yes;;https://images.sumup.com/img_6K1YCM6T8H9RFRC76P9GY56KGS;;;;;;;Yes;Eqqualberry toner 150 ml;;;Yes;45;business;9248d36c-e7de-4a61-9d16-2b12219ed6c6;5b0a11a4-857c-4dae-9ad9-d847f4394da3;
Etude ;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Etude;Yes;Light blue;https://images.sumup.com/img_2WEG8K1HTR92FSJDYNNQPX8Y48;;;;;;;Yes;Etude ;;;Yes;45;business;2f14ee0f-71fb-4532-b94f-44d8e234194b;377304ce-2502-47a3-bd89-267a15b0a4b1;
Face republic sun cream;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Face republic;Yes;;https://images.sumup.com/img_3H8WVJGFMA8Z3RY5X419CBKH1Z;;;;;;;Yes;Face republic sun cream;;;Yes;45;business;170538b7-8577-4252-b6dd-a20e9fcfa4bc;ca2a34fd-756a-4295-bc0c-035e0d052f64;
Farm Stay - Crème pour les mains Visible Difference - Black Pearl - 100ml;;;;;;;;;;Yes;4.75;;No;20.00;;;No;;;each.each;Yes;0;1;;;;;FARMSTAY;Yes;;https://images.sumup.com/img_6FWP4J5MME8BG8CFK0YMKT5XMA;;;;;;;Yes;;;;Yes;45;business;A5A04E46-F640-4402-BB26-F28D349DA434;79762644-9C15-4A28-9CE3-F9BDEE12FB2E;
Farm stay  tea tree ;;;;;;;;;;Yes;15.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;FARMSTAY;Yes;Light green;https://images.sumup.com/img_7KYJTG5WAF9VBVJCJNM1003BDJ;;;;;;;Yes;Farm stay  tea tree ;;;Yes;45;business;3776e994-bcf5-423a-8cac-bb19c3a2ee73;c0674025-6d7e-4400-80aa-3ea31f3094ed;
Farm stay eye cream ;;;;;;;;;;Yes;15.00;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;FARMSTAY;Yes;Light green;https://images.sumup.com/img_7WVNBD01708BR90ZZV7KAVZ5Y0;;;;;;;Yes;Farm stay eye cream ;;;Yes;45;business;cb71ef7a-292a-4253-a231-a3ae7d5110ab;e4ac74f6-a0da-4fe3-99cd-cde000b5f680;
Fig tree Face wash turmeric and lemon;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Figtree;Yes;Dark red;https://images.sumup.com/img_4060PD0AB6812T166AKJK1SKSD;;;;;;;Yes;Fig tree Face wash turmeric and lemon;;;Yes;45;business;c622d91d-5583-4fd6-8c53-74a0271aa8ce;d2f474d3-ab79-4d7c-b077-f8454b8f1afb;
Fig tree black soap tumeric;;;;;;;;;;Yes;15.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Figtree;Yes;Dark red;https://images.sumup.com/img_263NG3GC5Z96PANTGW757CDJFA;;;;;;;Yes;Fig tree black soap tumeric;;;Yes;45;business;2a3256cc-7594-4ad4-85d9-76a3ccf0cb70;87548b51-7e13-40b3-beca-12bc6b5d3da8;
Figtree Brightening cream;;;;;;;;;;Yes;25.90;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Figtree;Yes;Dark red;https://images.sumup.com/img_1SD6H6Q6WV8YHSFKNFVHW2HTDH;;;;;;;Yes;Figtree Brightening cream;;;Yes;45;business;56d16b4b-17c0-4db0-b7e7-1781c34ab00b;d48cf05b-a754-4c03-adc4-cb9c60a21302;
Figtree acnego clarifying toner;;;;;;;;;;Yes;21.50;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Figtree;Yes;Dark red;https://images.sumup.com/img_6BCDAF37YX8R39K5T87VC8W3HE;;;;;;;Yes;Figtree acnego clarifying toner;;;Yes;45;business;bc1afd7d-801a-4d51-a827-b0a30e8533bf;ebb0cd61-fdaa-4e33-a218-77b0d469017c;
Figtree acnego face wash;;;;;;;;;;Yes;30.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Figtree;Yes;Dark red;https://images.sumup.com/img_67E0B8HR1W96YRPGZZGA6TPAQD;;;;;;;Yes;Figtree acnego face wash;;;Yes;45;business;15f56ba0-6806-4186-8c4e-4aacf5adf1c1;04a03190-803c-4fa7-823a-dd18ba644212;
GREEN TOMATO - Pore Lifting Ampoule;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Sungboon;Yes;Light green;https://images.sumup.com/img_2WSZZWVXED9DKS36906PJSSMXR;;;;;;;No;;;;No;45;business;6AFFEDE8-2389-40A1-87B9-C30B76F962B1;56D99718-4789-4820-9F3D-C70E8937DC72;
Glow Missha x t'way;;;;;;;;;;Yes;23.56;;No;20.00;No;;No;;;each.each;Yes;3;2;;;;;MISSHA;Yes;;https://images.sumup.com/img_56K4NY70KJ8XS975AF80ZWDBCG;;;;;;;Yes;Glow Missha x t'way;;;Yes;45;business;6a12b1ff-57c2-41b4-814c-c27886acc507;7f347b3a-de88-45fc-8e15-2b9ef3954925;
Gommagic;;;;;;;;;;Yes;90.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Soins de beauté;Yes;Black;;;;;;;;Yes;Gommagic;;;Yes;45;business;dd991b24-3702-4b01-8716-b59195833bff;7b75d337-4448-438c-9e9c-d35ac5d10447;
Good molecules niacinamide;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;GOOD MOLECULES;Yes;Dark blue;https://images.sumup.com/img_2DFZ5MGT7383MS3D206D5GE0HB;;;;;;;Yes;Good molecules niacinamide;;;Yes;45;business;b793cf3f-3881-4e14-b4cb-e3590c037918;26d1f0c4-103f-43d6-a30e-b1e90fe643f9;
Good molecules serum acide  hyaluronic;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;GOOD MOLECULES;Yes;Orange;https://images.sumup.com/img_2FT49365XV9FB9PJS8B68XM72Z;;;;;;;Yes;Good molecules serum acide  hyaluronic;;;Yes;45;business;0065d797-22d4-4f41-8ae6-559e3ea7c4bd;682b04f1-5721-4b6f-9815-094078f49bc3;
Good molecules serum discoloration;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;GOOD MOLECULES;Yes;Yellow;https://images.sumup.com/img_2V2VB07G248NT8MVKWDXAYR617;;;;;;;Yes;Good molecules serum discoloration;;;Yes;45;business;6c81d010-3a9d-424a-8e2f-c185d106193f;633d639e-2a22-488b-8d0e-40353bc2d6d6;
Good molecules toner niacinamide;;;;;;;;;;Yes;21.18;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;GOOD MOLECULES;Yes;Yellow;https://images.sumup.com/img_34WTJ3332R9YBRKCRD9AYYGTFR;;;;;;;Yes;Good molecules toner niacinamide;;;Yes;45;business;066367ad-6d0a-4fb4-932e-518c17c49300;79f9e8be-d3a3-4baa-bae8-59dd049b68df;
Goodal eye cream;;;;;;;;;;Yes;21.90;;No;20.00;No;;No;;;each.each;No;0;0;;;;;Goodal;Yes;;https://images.sumup.com/img_6AGH85YFEA8AAT1XR1M0WH3DBJ;;;;;;;Yes;Goodal eye cream;;;Yes;45;business;6f633d05-3320-4235-9520-dc74882220a2;e7d4d142-4fc1-4aaa-be2a-12c6f3141506;
Goodal green cream vita C dark spot care cream;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;1;2;;;;;Goodal;Yes;Yellow;https://images.sumup.com/img_2VPJZ9M16D9J299KA87GZ0T2YV;;;;;;;Yes;Goodal green cream vita C dark spot care cream;;;Yes;45;business;211acd3a-d094-4fa7-a7e7-0ec5ee04a17f;9bf0f4c8-9064-423e-a611-56aed8ac4b36;
Goodal green serum Vita C;;;;;;;;;;Yes;23.50;;No;20.00;No;;No;;;each.each;Yes;1;1;;;;;Goodal;Yes;Yellow;https://images.sumup.com/img_3QSG6CPFT29NDTGBA3SR31VV3G;;;;;;;Yes;Goodal green serum Vita C;;;Yes;45;business;bfdf5c52-1836-4ce6-be70-231b5b49198e;e521e873-824c-4b78-9e4c-79edb703dbb8;
Goodal mask ;;;;;;;;;;Yes;5.50;;No;20.00;No;;No;;;each.each;No;0;0;;;;;Goodal;Yes;;https://images.sumup.com/img_3MB0VWV7K69R7SQSS1D6SE2TJS;;;;;;;Yes;Goodal mask ;;;Yes;45;business;777c4e32-74e7-410e-ad1c-9b1598f88165;790c7df7-fd6e-4b62-9571-7e8e798440b6;
Goodal vita C toner green tangerine;;;;;;;;;;Yes;24.50;;No;20.00;No;;No;;;each.each;Yes;2;1;;;;;Goodal;Yes;Yellow;https://images.sumup.com/img_616H6R7V8P9GNR3P788FTDE2ZB;;;;;;;Yes;Goodal vita C toner green tangerine;;;Yes;45;business;f2a06e78-3928-4dcd-867d-04a37275c05f;ab1218a2-83db-4cf1-aa72-01abbd2f2a6c;
Green tomate - Cleansing Oil;;;;;;;;;;Yes;19.84;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;GREEN TOMATO;Yes;Dark green;https://images.sumup.com/img_17TYT2XGHA8T8AQA0K4WN69YK0;;;;;;;Yes;Green tomate - Cleansing Oil;;;Yes;45;business;56557020-e78c-4472-bc50-bb27b8d9cd85;ee2c7932-46de-43c1-a1fe-5514751c85d8;
HARUHARU WONDER - Black Rice Gel nettoyant doux Moisture 5.5 - 100ml;;;;;;;;;;Yes;16.00;;No;20.00;No;15.00;No;;;each.each;Yes;1;2;;12346789505;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_4QR33MNK8194TA7CSW73PPBETA;;;;;;;Yes;;;;No;45;business;27c4dc82-8967-489b-b078-24c8d90b732b;d5d13ddd-d631-4337-ba33-ab6729e73e20;
HARUHARU WONDER - Black Rice Moisture Airyfit Daily Sunscreen;;;;;;;;;;Yes;22.00;;No;20.00;No;;No;;;each.each;Yes;0;1;;;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_68VKES2A9497QSHSBCSGZKRESP;;;;;;;Yes;;;;Yes;45;business;23C21403-79DD-4760-9522-CE640308493F;5CCDE702-CB00-45BA-8B23-34F63D194201;
HARUHARU WONDER - Toner Hyaluronique Riz Noir - 300ml;;;;;;;;;;Yes;23.99;;No;20.00;No;23.99;No;;;each.each;Yes;4;2;;12346789514;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_5B68W8X74B8EXATRAZ5T6BZSRP;;;;;;;Yes;;;;No;45;business;c0521383-6bac-4fe7-9a17-057aa5f96d88;bb660e87-592f-473e-b8c9-28172d2a8aeb;
HARUHARU WONDER- Creme hydratante ;;;;;;;;;;Yes;23.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_3Z1TN3H3QW8QJVVV29AJKTXG6B;;;;;;;Yes;Creme hydratante ;;;Yes;45;business;0763098f-6286-482d-844b-f9436c77e639;d039ccb5-abb4-4a87-8af9-572aabc57da6;
Hair needling ;;;;;;;;;;Yes;100.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Soins de beauté;Yes;Black;;;;;;;;Yes;Hair needling ;;;No;45;business;3bb99ff4-ab09-4c0f-ae5d-dafcce1b6040;adc9e1d4-1311-40f5-87eb-c9dfb145a8f6;
Hairneedling boost;;;;;;;;;;Yes;85.00;;No;20.00;No;;No;;;each.each;No;0;0;;;;;Soins de beauté;Yes;;;;;;;;;Yes;Hairneedling boost;;;Yes;45;business;d0d6f8e0-1a7d-4988-bd98-a21c04adb8f9;0f55e67f-0b50-4b27-87de-f46be0098397;
Haruharu  huile nettoyante ;;;;;;;;;;Yes;24.99;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_5G3C8J89528ECAGWVTM2DKHPC4;;;;;;;Yes;Haruharu  huile nettoyante ;;;Yes;45;business;136d2400-d2e7-4f47-b055-0a73a0a2f597;7d08c121-7582-4629-8c7b-7158782fbb35;
Haruharu Wonder exfoliating serum  Centella 3% PHA;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;1;2;;;;;HARUHARU WONDER;Yes;;;;;;;;;Yes;Haruharu Wonder exfoliating serum  Centella 3% PHA;;;Yes;45;business;4ab3e124-058f-4e49-bc99-eed2e9e6eb76;14bc168a-07ba-4102-94f0-2d64b4e4dadc;
Haruharu black rice retinol serum;;;;;;;;;;Yes;22.50;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_65ZYYYR9KB9V7V44P9B3H91CDA;;;;;;;Yes;Haruharu black rice retinol serum;;;Yes;45;business;8a9dc212-bccb-4b32-8397-a566b4dbdf2b;5e229d12-bda7-4772-b9e9-af7bd5edbd73;
Haruharu wonder cleansing gel;;;;;;;;;;Yes;22.50;;No;20.00;No;;No;;;each.each;Yes;3;1;;;;;HARUHARU WONDER;Yes;;https://images.sumup.com/img_57B9KZPQVK9XHVQYYDXH9VKJYS;;;;;;;Yes;Haruharu wonder cleansing gel;;;Yes;45;business;544915f7-097b-4dfe-a02d-6bd31e8a5a42;157ace5c-5989-48f0-98ac-1d5e0cecd179;
Haruwonder eye;;;;;;;;;;Yes;24.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;HARUHARU WONDER;Yes;Black;https://images.sumup.com/img_4Y81WCX80V8AGTFJV1SCXHZ1TT;;;;;;;Yes;Haruwonder eye;;;Yes;45;business;0cc6a585-f854-44d2-892e-ce0ca542e43a;401eb30d-cb73-4098-a497-558517757416;
Heartleaf Silky Moisture Sun Cream;;;;;;;;;;Yes;24.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;ABIB;Yes;;;;;;;;;No;;;;No;45;business;2efff23b-5a40-4f12-88c2-4052957d3f58;01e2a963-bc92-49ad-bdc4-4638a0b66c51;
Heimish acid hyaluronic;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;HEIMISH;Yes;;https://images.sumup.com/img_53VG3434W393HA7AA8QRHBENPS;;;;;;;Yes;Heimish acid hyaluronic;;;Yes;45;business;bc5143ca-4adc-414e-8ef1-3888d979e0e7;18c16b03-917f-4bd7-a8d3-2c90339a8a61;
Heimish eye cream retinol;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;HEIMISH;Yes;Purple;https://images.sumup.com/img_1RM26Y1GSN85VABBJ1PS71FS46;;;;;;;Yes;Heimish eye cream retinol;;;Yes;45;business;41906739-7743-4056-bbf7-7b2ee78b6a8f;3ce75df3-f1ba-4efb-a626-b7dff8c00ace;
Heimish foam;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;HEIMISH;Yes;Dark green;https://images.sumup.com/img_639HBD3GQP8EMBMNNC179J1Z81;;;;;;;Yes;Heimish foam;;;Yes;45;business;c848cd96-530b-486d-ab9f-6f4048b227fe;56b17911-2c59-43d5-bf67-77f17ca92325;
Heimish hydrogel eye;;;;;;;;;;Yes;21.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;HEIMISH;Yes;;https://images.sumup.com/img_4M8CHRTGGQ889VKD6K3GKDC7Q0;;;;;;;Yes;Heimish hydrogel eye;;;Yes;45;business;d8b95c72-0b87-4354-9109-f16441f51983;368cdc5b-4820-41cb-9954-d309e4e2449f;
Heimish multi vitamin;;;;;;;;;;Yes;27.60;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;HEIMISH;Yes;;https://images.sumup.com/img_3K32VRWTVG8RRBWS1M3FG8R9S8;;;;;;;Yes;Heimish multi vitamin;;;Yes;45;business;b6a1a2a4-fe14-4ee4-952d-04bf554b1e3c;cc5428f3-79bd-40ad-88e1-f72380c1af7a;
Heimish scrub ;;;;;;;;;;Yes;24.00;;No;20.00;No;;No;;;each.each;Yes;7;0;;;;;HEIMISH;Yes;;https://images.sumup.com/img_1WMAG4RMGZ9WPRED52N74NNBJ2;;;;;;;Yes;Heimish scrub ;;;Yes;45;business;62e21c66-8701-412f-bf2c-3740a8001c64;7e3e7368-2d0e-4b39-9732-1d6b9e6c1542;
Hydraskin ;;;;;;;;;;Yes;80.00;;No;20.00;No;;No;;;each.each;Yes;-2;0;;;;;Soins de beauté;Yes;Black;;;;;;;;Yes;Hydraskin ;;;No;45;business;e77f3635-573d-4faf-a890-f8cffaaa562c;11e70c57-1f8a-4c8a-b218-2b12dc27c16e;
