Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
Beplain mung bean cleansing oil;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Beplain;Yes;Light green;https://images.sumup.com/img_3M2J27QX7R8RWAFCGY9DNV8H38;;;;;;;Yes;Beplain mung bean cleansing oil;;;Yes;45;business;6a37cac4-1c2b-42ef-a226-e1e8a1abeac8;8e89eb47-974c-4c3e-98ed-6b6ebf0037ad;
Beplain pore serum;;;;;;;;;;Yes;24.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Beplain;Yes;;https://images.sumup.com/img_581WWDW2SM9D1SMQN64KFXTSGK;;;;;;;Yes;Beplain pore serum;;;Yes;45;business;679bc4c1-6e8e-4f58-85ec-628eb95b436f;aa899f53-c85c-4387-9909-5feafb28122e;
Beplain serum cicaterol;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Beplain;Yes;;https://images.sumup.com/img_4SZ84R3ZRT9MJ8P96NRYKP5E54;;;;;;;Yes;Beplain serum cicaterol;;;Yes;45;business;0e5316fd-dd4b-423a-8a6b-9e9720a9deaa;8ce808db-5ec4-46e7-95a8-06c1e9400b09;
Beplain toner cicaterol;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;3;2;;;;;Beplain;Yes;;;;;;;;;Yes;Beplain toner cicaterol;;;Yes;45;business;fdf2de99-9b9f-449f-8407-61e72b80b727;bff7833b-98fe-4876-9121-6aa546455238;
Bio heal Boh Collagen serum pads;;;;;;;;;;Yes;36.90;;No;20.00;No;;No;;;each.each;Yes;2;1;;;;;Bio heal BOH;Yes;Purple;https://images.sumup.com/img_1CK5JTP7KY9ZZSZ1J6KSENSCN7;;;;;;;Yes;Bio heal Boh Collagen serum pads;;;Yes;45;business;cc8eca89-7bea-471e-800f-3f4402fd3852;d98d930c-dd9d-47a9-a585-19c72aafd45e;
Bio heal Boh Collagen sun cream;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;4;2;;;;;Bio heal BOH;Yes;Purple;https://images.sumup.com/img_23KNX9YWFV8GWS9SK5S3ZPBHAF;;;;;;;Yes;Bio heal Boh Collagen sun cream;;;Yes;45;business;d0503d1e-90e6-4597-acc3-bb4081d0c2fe;ee87a1d8-bcea-46dc-8d4a-0f99f9e2d895;
Biodance  pdrn ;;;;;;;;;;Yes;6.50;;No;20.00;No;;No;;;each.each;Yes;35;0;;;;;BIODANCE;Yes;Purple;https://images.sumup.com/img_137ZKF5BVW9X3SN2R6PRQVKYM6;;;;;;;Yes;Biodance  pdrn ;;;Yes;45;business;9915b747-ed41-4f02-a97b-64224f3833f1;7e1d67a4-fd1f-4bd5-8274-82d5c0c9b75a;
Bioheal Boh probioderm collagen cream;;;;;;;;;;Yes;38.75;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Bio heal BOH;Yes;Purple;https://images.sumup.com/img_5288063S948EWTP1CGZWEKVSR9;;;;;;;Yes;Bioheal Boh probioderm collagen cream;;;Yes;45;business;1daad5f6-1caf-444b-b71a-d3f3335a4cda;0a297169-c895-4e53-b381-f6d03c8668ba;
CELIMAX - Pore + Dark Spot Brightening Pad;;;;;;;;;;Yes;19.90;;No;20.00;;;No;;;each.each;Yes;1;0;;;;;CELIMAX;Yes;;https://images.sumup.com/img_619QMZ2BD79T7R48KGGSGX4S2W;;;;;;;Yes;;;;Yes;45;business;D9091360-4045-4923-BFAB-BE22014ABC07;CB9B9CCA-5C70-40BA-9C60-5A8A1CF313A4;
COSRX - AHA-7 Whitehead power liquid;;;;;;;;;;Yes;19.90;;No;20.00;No;20.00;No;;;each.each;Yes;2;2;;12346789491;;;COSRX;Yes;Pink;https://images.sumup.com/img_36BAA4H1W19PHATCZV61QZ56VP;;;;;;;Yes;;;;No;45;business;58236522-e9fc-414c-be51-94906cca29ac;1f80714e-7b0e-4cb4-8297-7f02dde537bc;
